Date,Ret_m_Rf_dvdy
10/07/97,0.006777566
11/07/97,0.003093876
14/07/97,0.001778125
15/07/97,0.007929089
16/07/97,0.011555927
17/07/97,-0.005406082
18/07/97,-0.017737078
21/07/97,-0.002656394
22/07/97,0.022710151
23/07/97,0.002683893
24/07/97,0.003910685
25/07/97,-0.001681861
28/07/97,-0.002570335
29/07/97,0.006142227
30/07/97,0.010481838
31/07/97,0.002044288
01/08/97,-0.007620213
04/08/97,0.003252196
05/08/97,0.002097316
06/08/97,0.008234378
07/08/97,-0.009631317
08/08/97,-0.018808628
11/08/97,0.003620912
12/08/97,-0.011315408
13/08/97,-0.004958101
14/08/97,0.002899561
15/08/97,-0.026329305
18/08/97,0.012804177
19/08/97,0.014629347
20/08/97,0.014224495
21/08/97,-0.015418926
22/08/97,-0.001712271
25/08/97,-0.003745132
26/08/97,-0.007868312
27/08/97,0.000665913
28/08/97,-0.011116654
29/08/97,-0.004737144
02/09/97,0.030690923
03/09/97,0.00021931
04/09/97,0.003156314
05/09/97,-0.002039552
08/09/97,0.002229074
09/09/97,0.002512938
10/09/97,-0.015833171
11/09/97,-0.007114528
12/09/97,0.012245424
15/09/97,-0.004573445
16/09/97,0.027655832
17/09/97,-0.002878151
18/09/97,0.0044565
19/09/97,0.003310969
22/09/97,0.00508033
23/09/97,-0.003752469
24/09/97,-0.007939475
25/09/97,-0.007062994
26/09/97,0.007681237
29/09/97,0.008471492
30/09/97,-0.006459356
01/10/97,0.008474995
02/10/97,0.005201026
03/10/97,0.004676066
06/10/97,0.007835419
07/10/97,0.010594958
08/10/97,-0.009554929
09/10/97,-0.003382803
10/10/97,-0.003828039
13/10/97,0.001086778
14/10/97,0.002178563
15/10/97,-0.004781606
16/10/97,-0.010971614
17/10/97,-0.011748265
20/10/97,0.011983456
21/10/97,0.017223201
22/10/97,-0.003976505
23/10/97,-0.018620902
24/10/97,-0.00963578
27/10/97,-0.071198267
28/10/97,0.049816123
29/10/97,-0.002993108
30/10/97,-0.017055666
31/10/97,0.011962572
03/11/97,0.026213675
04/11/97,0.001800781
05/11/97,0.002041214
06/11/97,-0.005112262
07/11/97,-0.011360846
10/11/97,-0.006984875
11/11/97,0.002790326
12/11/97,-0.019561271
13/11/97,0.01165895
14/11/97,0.012589721
17/11/97,0.018962714
18/11/97,-0.008541346
19/11/97,0.006673429
20/11/97,0.015036729
21/11/97,0.004194224
24/11/97,-0.017278818
25/11/97,0.004291762
26/11/97,0.00077958
28/11/97,0.003860828
01/12/97,0.019985085
02/12/97,-0.003261396
03/12/97,0.00513835
04/12/97,-0.003850758
05/12/97,0.010839255
08/12/97,-0.001530778
09/12/97,-0.006817189
10/12/97,-0.006244005
11/12/97,-0.015517372
12/12/97,-0.001710799
15/12/97,0.010347905
16/12/97,0.004728701
17/12/97,-0.002672234
18/12/97,-0.010748448
19/12/97,-0.009044986
22/12/97,0.00719603
23/12/97,-0.015481604
24/12/97,-0.006956657
26/12/97,0.003936859
29/12/97,0.017788885
30/12/97,0.018093276
31/12/97,-0.000508794
02/01/98,0.004656738
05/01/98,0.001997361
06/01/98,-0.010876689
07/01/98,-0.002755261
08/01/98,-0.008363565
09/01/98,-0.030195043
12/01/98,0.012259022
13/01/98,0.013569482
14/01/98,0.006011605
